iter	Passed	Remaining
413	3739	5292
414	3748	5284
415	3757	5274
416	3765	5264
417	3775	5256
418	3783	5246
419	3792	5237
420	3801	5228
421	3810	5219
422	3820	5211
423	3830	5203
424	3840	5195
425	3848	5185
426	3858	5178
427	3867	5168
428	3875	5158
429	3884	5149
430	3893	5140
431	3901	5130
432	3911	5121
433	3920	5112
434	3928	5102
435	3937	5093
436	3945	5083
437	3953	5073
438	3961	5062
439	3970	5053
440	3978	5042
441	3987	5034
442	3995	5023
443	4004	5014
444	4011	5003
445	4020	4994
446	4028	4983
447	4037	4974
448	4045	4964
449	4054	4955
450	4062	4944
451	4072	4937
452	4082	4929
453	4092	4921
454	4102	4914
455	4111	4905
456	4122	4898
457	4135	4894
458	4144	4885
459	4157	4880
460	4168	4873
461	4177	4864
462	4187	4856
463	4195	4847
464	4204	4837
465	4213	4828
466	4222	4818
467	4231	4810
468	4240	4800
469	4249	4791
470	4256	4780
471	4265	4771
472	4272	4760
473	4281	4751
474	4288	4740
475	4297	4730
476	4305	4720
477	4313	4710
478	4321	4700
479	4331	4692
480	4338	4681
481	4347	4671
482	4354	4661
483	4363	4652
484	4371	4642
485	4380	4632
486	4388	4622
487	4396	4612
488	4404	4602
489	4412	4592
490	4420	4582
491	4428	4572
492	4436	4562
493	4443	4551
494	4451	4541
495	4459	4531
496	4467	4521
497	4475	4511
498	4483	4500
499	4490	4490
500	4497	4479
501	4505	4469
502	4514	4460
503	4521	4449
504	4529	4440
505	4537	4429
506	4546	4421
507	4554	4411
508	4562	4401
509	4569	4390
510	4577	4380
511	4584	4369
512	4593	4360
513	4600	4349
514	4608	4340
515	4616	4329
516	4623	4319
517	4630	4309
518	4638	4299
519	4647	4289
520	4654	4279
521	4662	4269
522	4670	4259
523	4678	4249
524	4685	4239
525	4693	4229
526	4700	4218
527	4709	4209
528	4716	4199
529	4724	4189
530	4732	4180
531	4742	4171
532	4750	4162
533	4759	4153
534	4766	4143
535	4774	4133
536	4781	4122
537	4789	4113
538	4796	4102
539	4804	4092
540	4811	4082
541	4819	4072
542	4826	4062
543	4834	4052
544	4842	4042
545	4850	4033
546	4858	4023
547	4865	4012
548	4873	4003
549	4880	3993
550	4888	3983
551	4896	3973
552	4905	3965
553	4912	3955
554	4921	3945
555	4928	3935
556	4937	3926
557	4944	3916
558	4952	3907
559	4960	3897
560	4968	3887
561	4975	3877
562	4983	3868
563	4991	3858
564	4999	3849
565	5007	3839
566	5014	3829
567	5022	3819
568	5029	3809
569	5038	3800
570	5044	3790
571	5053	3781
572	5061	3772
573	5070	3763
574	5078	3753
575	5086	3744
576	5097	3736
577	5106	3728
578	5114	3718
579	5122	3709
580	5130	3699
581	5138	3690
582	5146	3681
583	5155	3672
584	5163	3663
585	5171	3653
586	5179	3644
587	5187	3634
588	5195	3625
589	5203	3616
590	5211	3606
591	5219	3596
592	5227	3587
593	5235	3578
594	5242	3568
595	5250	3559
596	5257	3549
597	5266	3540
598	5273	3530
599	5283	3522
600	5291	3513
601	5300	3504
602	5308	3494
603	5316	3485
604	5324	3476
605	5333	3467
606	5341	3458
607	5349	3449
608	5357	3439
609	5365	3430
610	5372	3420
611	5381	3411
612	5388	3401
613	5396	3392
614	5404	3383
615	5412	3374
616	5419	3364
