iter	RMSE
0	0.1035966912
1	0.101759894
2	0.1000899674
3	0.09842579172
4	0.09670556001
5	0.09527721521
6	0.09387697705
7	0.09255127308
8	0.09127616415
9	0.09007248849
10	0.08906932228
11	0.08799287058
12	0.08691411783
13	0.0859780093
14	0.08508159849
15	0.08418518837
16	0.08340945467
17	0.08252875906
18	0.0816613919
19	0.08083707874
20	0.08011697467
21	0.07943402954
22	0.07881977658
23	0.07833239581
24	0.0778863836
25	0.07743662866
26	0.07687903881
27	0.07636414958
28	0.07601613493
29	0.07545956112
30	0.07497955718
31	0.07464149428
32	0.07424075005
33	0.07381367277
34	0.07338109247
35	0.07309425351
36	0.07268106573
37	0.07221396746
38	0.07174942378
39	0.07142655245
40	0.07100075033
41	0.07066367402
42	0.07039241978
43	0.07000737475
44	0.06970824875
45	0.06937316001
46	0.06909483751
47	0.06881019404
48	0.0685506561
49	0.06832365031
50	0.0681034038
51	0.06787817416
52	0.06766707477
53	0.06744090321
54	0.06727161903
55	0.06707219193
56	0.06679821251
57	0.06651646784
58	0.06629372548
59	0.0660817417
60	0.06576001736
61	0.06539410939
62	0.06513557834
63	0.06495554477
64	0.06480890835
65	0.06459337372
66	0.06441790683
67	0.06419378439
68	0.06390890742
69	0.06376814175
70	0.06358859548
71	0.06342861655
72	0.06327201497
73	0.06310377935
74	0.06294221222
75	0.06279884672
76	0.0626558205
77	0.06253021969
78	0.06235825108
79	0.0622137816
80	0.06200389357
81	0.0617689635
82	0.06165186871
83	0.06156057172
84	0.06143308609
85	0.06126835902
86	0.06101868782
87	0.06082430202
88	0.06074297421
89	0.06062765283
90	0.06042875595
91	0.06028119118
92	0.06018576827
93	0.06007997117
94	0.05998385777
95	0.05985422917
96	0.05969413364
97	0.05960434345
98	0.0594779353
99	0.05936007509
100	0.05921152949
101	0.05902628102
102	0.05894303604
103	0.05869669913
104	0.05860156252
105	0.05845149902
106	0.05829180933
107	0.05816190508
108	0.05809345556
109	0.05791678206
110	0.05783407371
111	0.05766322214
112	0.05750439792
113	0.0574108812
114	0.05731240585
115	0.05720643737
116	0.05711253212
117	0.05699716358
118	0.05693442367
119	0.05683239304
120	0.05673271573
121	0.0565952619
122	0.05648745595
123	0.05639606738
124	0.05626855567
125	0.0561037503
126	0.05593733316
127	0.05572977353
128	0.05564759484
129	0.05556720558
130	0.05547288385
131	0.05536460475
132	0.05525913253
133	0.05517366644
134	0.05509974843
135	0.05500934776
136	0.05494073435
137	0.05482186291
138	0.05472614591
139	0.05462735378
140	0.05456472013
141	0.05446608448
142	0.05434647925
143	0.05429425185
144	0.05418789937
145	0.05412716204
146	0.05404542342
147	0.0539684939
148	0.05386209134
149	0.05378684639
150	0.05367934807
151	0.05363013097
152	0.05351354229
153	0.05337847662
154	0.05330103118
155	0.05315333872
156	0.05310500519
157	0.05302186912
158	0.0529437828
159	0.05286711073
160	0.05272882805
161	0.05266453663
162	0.05256731418
163	0.05247871464
164	0.05240436007
165	0.05232313031
166	0.05222738567
167	0.0521706196
168	0.05208600175
169	0.05198502525
170	0.05192500613
171	0.05185257431
172	0.05176239938
173	0.05165260797
174	0.05157661621
175	0.0515227751
176	0.05145889134
177	0.05137322768
178	0.05127292648
179	0.05121634095
180	0.0511686714
181	0.05099961409
182	0.05096804813
183	0.05090526881
184	0.0508038958
185	0.05073763346
186	0.05061433611
187	0.05049008533
188	0.0504235187
189	0.05034072154
190	0.05026132477
191	0.05020722725
192	0.05013820437
193	0.05004512848
194	0.04998962889
195	0.04992932333
196	0.04984064457
197	0.04978405234
198	0.04964552514
199	0.04961045006
200	0.04944087618
201	0.04937871169
202	0.04930526528
203	0.04927401204
204	0.04915635526
205	0.0491137315
206	0.0490748437
207	0.04904256312
208	0.04895810801
209	0.04889807822
210	0.04884118014
211	0.04877403254
212	0.04864491738
213	0.04854938393
214	0.04845467941
215	0.04837456965
216	0.04828639643
217	0.0482173388
218	0.04812032186
219	0.04808513414
220	0.04803404558
221	0.04798442349
222	0.04793646159
223	0.04787220215
224	0.04778269052
225	0.04770702155
226	0.04763426636
227	0.04759212164
228	0.04755828848
229	0.04751519344
230	0.04745895071
231	0.0473906677
232	0.04733362172
233	0.0472824953
234	0.0472453459
235	0.04720459351
236	0.04716181506
237	0.04710649731
238	0.04705184677
239	0.04699873332
240	0.04695973266
241	0.04690431617
242	0.04683097658
243	0.04680760313
244	0.04676044206
245	0.04669105878
246	0.04661752656
247	0.0465795738
248	0.04654728963
249	0.04647528498
250	0.04640026555
251	0.04636246536
252	0.04633834606
253	0.04630169084
254	0.04627062414
255	0.04620109693
256	0.04605170568
257	0.04598250764
258	0.0459189428
259	0.0458428461
260	0.04578962924
261	0.04573395092
262	0.04564418931
263	0.04557737704
264	0.04551403556
265	0.04546658325
266	0.0454228569
267	0.04539199014
268	0.04532256372
269	0.04525676774
270	0.0452173511
271	0.04514169011
272	0.0451180593
273	0.04507729294
274	0.04503868809
275	0.04498605394
276	0.04489421376
277	0.04486023631
278	0.04479089369
279	0.04473105038
280	0.044686874
281	0.04462081186
282	0.04458185436
283	0.04451849391
284	0.04445366874
285	0.0444107913
286	0.04436564763
287	0.04434689597
